Loss
0.0890606
0.0633272
0.0617646
0.0609627
0.0604316
0.0600451
0.0597489
0.059514
0.0593226
0.0591633
0.0590283
0.0589122
0.0588108
0.0587217
0.0586422
0.0585707
0.0585063
0.0584475
0.0583937
0.0583441
